,City,Country,Max Temp,Latitude,Longitude,Hotel Name
383,Beaufort,MY,87.6,5.3473,115.7455,Rainbow Hotel
384,Mogadishu,SO,76.87,2.0371,45.3438,SYL Hotel
385,Siocon,PH,86.49,7.7061,122.1353,No hotel found
386,Madang,PG,85.39,-5.2246,145.7966,Madang Star International
389,Guaruja,BR,72.9,-23.9931,-46.2564,Pousada
395,Mucurapo,TT,77.05,10.6667,-61.5333,Liam's guest House
403,Port Blair,IN,84.24,11.6667,92.75,Andaman Ocean Breeze
405,Totness,SR,76.77,5.8833,-56.3167,No hotel found
406,Kassala,SD,71.71,15.451,36.4,No hotel found
410,Moree,AU,77.81,-29.4667,149.85,No hotel found
412,Saint-Paul,RE,82.49,-21.0096,55.2707,Hôtel d'application
418,Vega De Alatorre,MX,72.46,20.0333,-96.6333,No hotel found
421,Hoi An,VN,75.16,15.8794,108.335,No hotel found
423,Prestea,GH,73.49,5.4327,-2.1428,Akapii Hotel
424,Touros,BR,77.74,-5.1989,-35.4608,Pousada Atlântico
427,Banda Aceh,ID,76.03,5.5577,95.3222,Hotel 61
428,Chiredzi,ZW,80.15,-21.05,31.6667,Nesbitt Arms Hotel
431,Blackwater,AU,88.92,-23.5833,148.8833,No hotel found
433,Saint-Pierre,RE,80.91,-21.3393,55.4781,Tropic Hotel
434,Lindi,TZ,81.09,-10.0,39.7167,Baraka inn
435,Isangel,VU,80.37,-19.55,169.2667,Tanna Lodge
436,San Ignacio,BZ,71.74,17.1561,-89.0714,Rainforest Haven Inn
440,Celestun,MX,78.6,20.8667,-90.4,Hotel Flamingo Playa
442,Puri,IN,77.52,19.8,85.85,Divine Beach Homestay
445,Lastoursville,GA,70.03,-0.8143,12.7287,Hotel Tchenga
448,Davila,PH,87.78,18.4726,120.5763,Blue Ridge Beach Resort
450,Panama City,PA,79.45,8.9936,-79.5197,Hostal Familiar Carmencita
453,Pangai,TO,77.11,-19.8,-174.35,Billy's Place
456,Okaihau,NZ,72.7,-35.3167,173.7833,No hotel found
459,Umm Lajj,SA,70.92,25.0213,37.2685,No hotel found
461,Srandakan,ID,83.16,-7.9386,110.2506,No hotel found
462,Kinablangan,PH,82.96,7.6947,126.5503,No hotel found
464,Sao Miguel Do Araguaia,BR,70.45,-13.275,-50.1628,Hotel São Miguel
466,Sitio Novo Do Tocantins,BR,76.93,-5.5183,-47.4611,New Anápolis Hotel
467,Wajid,SO,77.95,3.8093,43.2471,No hotel found
469,Shimoni,KE,77.22,-4.6476,39.3817,Shimoni Reef Lodge
470,Vao,NC,76.77,-22.6667,167.4833,Nataiwatch
473,Sao Raimundo Nonato,BR,76.06,-9.0153,-42.6994,Pousada Zabelê
